id	建筑名	功能
int	string	string
id	name	info
0-100000	0.0	0.0
1	乐园管理处	1001,1006
2	小火车站	1014
3	自行车出租屋	1001,1002,1006,1007
4	kitty主题餐厅	1001,1002,1006,1007
5	kitty主题剧院	1001,1002,1006,1007
6	kitty小屋	1001,1006
7	飞艇坪	1001,1002,1006,1007
8	庄园	1001,1002,1003,1006,1007
9	花园	1001,1002,1003,1006,1007
10	乐园售票亭	1001,1006
11	回收站	1001,1002,1006,1007,1010
12	旋转木马	1001,1002,1006,1007
13	桑巴气球	1001,1002,1006,1007
14	摩天轮	1001,1002,1006,1007
15	melody舞台	1001,1002,1006,1007,1013
16	melody主题餐厅	1001,1002,1006,1007
17	卡丁车赛道	1001,1002,1006,1007
18	海盗船	1001,1002,1006,1007
19	碰碰车	1001,1002,1006,1007
20	惊悚屋	1001,1002,1006,1007
21	咖啡杯	1001,1002,1006,1007
22	飓风飞椅	1001,1002,1006,1007
23	冰激凌车	1001,1002,1006,1007
24	糖果屋	1001,1002,1006,1007
25	咖啡屋	1001,1002,1006,1007
26	烘焙屋	1001,1002,1006,1007
27	马戏团	1001,1002,1006,1007
28	丛林探险	1001,1002,1006,1007
29	海洋剧场	1001,1002,1006,1007
30	游船码头	1001,1002,1006,1007
31	日料店	1001,1002,1006,1007
32	甜品店	1001,1002,1006,1007
33	礼品店	1001,1002,1006,1007
34	占卜屋	1001,1002,1006,1007,1011
35	天文台	1001,1002,1006,1007
36	储藏室	1001,1002,1006,1012
37	集市	1001,1002,1006,1009
38	家族中心	1001,1002,1006,1008
39	工人宿舍	1001,1002,1003,1006
40	试衣间	1001,1002,1005,1006
41	道路	1006,1007,1015
42	克里姆林宫	1001,
43	东方明珠	1001,
44	姬路城	1001,
45	狮身人面像	1001,
46	自由女神像	1001,
47	凯旋门	1001,
48	帕台农神庙	1001,
49	卫生间	1001,
50	垃圾桶	1001,
51	饮水机	1001,
