id	dependID	建筑名	等级	最大值	游客产出	建筑网格信息	信息类型	建筑Spine资源名	建筑类型	前提建筑1	范围图片	影响范围	游客降低	愉悦度上升	回收CD时间	前提建筑1等级	前提建筑2	愉悦度需求	金钱需求	升级需求物品1	升级需求1	升级需求物品2	升级需求2	升级需求物品3	升级需求3	升级需求物品4	升级需求4	产出物品1	产出1数值	产出物品2	产出2数值	产出物品3	产出数值3	升级时间（单位：秒）	作用描述	作用数值	分类	维持人数需求	建筑图片	文字描述
int	string	string	int	int	int	string	int	string	string	string	string	string	string	int	string	int	string	int	int	int	int	int	int	int	int	int	int	string	int	int	int	int	int	int	string	int	string	string	string	string
id	dependID	name	level	MaxCap	GuestProduce	buildGridInfo	infoType	buildSpineRes	buildKind	premiseBuild	effectPic	effectRange	guestReduce	happyIncrease	sellTime	premiseLevel	premiseBuild2	merriness	requireGold	requireItem	require	requireItem2	require2	requireItem3	require3	requireItem4	require4	produceItem	produce	produceItem2	produce2	produceItem3	produce3	time	functionDescribe	functionValues	type	personRequire	buildIcon	description
0-1000000	0.0	0.0	1-100	1-100	0-100000	0	0-100	0	0	0	0	0	0.0	0-100	0.0	0-100	0.0	0-10000000	0-10000000	0-1000000	0-1000000	0-1000000	0-10000000	0-1000000	0-1000000	0-1000000	0-1000000		0-1000000	0-1000000	0-1000000	0-1000000	0-100000	0-100000000	0.0	0-100000000	0.0	0.0	0.0	0.0
1	1	building_jz_100_0	1	1	0	4,4	1	jz_100_0	1	默认	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	jz_100_0	0
2	1	building_jz_100_1	2	1	0	4,4	1	jz_100_1	1	1	0	0	0	0	0	1	0	30	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	jz_100_1	0
3	1	building_jz_100_2	3	1	0	4,4	1	jz_100_2	1	2	0	0	0	0	0	2	0	50	810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	jz_100_2	0
4	1	building_jz_100_3	4	1	0	4,4	1	jz_100_3	1	3	0	0	0	0	0	3	0	100	1290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0	0	0	jz_100_3	0
5	1	building_jz_100_4	5	1	0	4,4	1	jz_100_4	1	4	0	0	0	0	0	3	0	200	2070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	960	0	0	0	0	jz_100_4	0
6	1	building_jz_100_5	6	1	0	4,4	1	jz_100_5	1	5	0	0	0	0	0	3	0	350	3330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1920	0	0	0	0	jz_100_5	0
7	1	building_jz_100_6	7	1	0	4,4	1	jz_100_6	1	6	0	0	0	0	0	3	0	650	5340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3840	0	0	0	0	jz_100_6	0
8	1	building_jz_100_7	8	1	0	4,4	1	jz_100_7	1	7	0	0	0	0	0	3	0	1150	8580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7680	0	0	0	0	jz_100_7	0
9	1	building_jz_100_8	9	1	0	4,4	1	jz_100_8	1	8	0	0	0	0	0	3	0	2050	13770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15360	0	0	0	0	jz_100_8	0
10	1	building_jz_100_9	10	1	0	4,4	1	jz_100_9	1	9	0	0	0	0	0	3	0	3700	22110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24600	0	0	0	0	jz_100_9	0
